"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Brain Injury","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","1744"
"Brain Mechanisms","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","1874"
"Brain Network Disorders","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","",""
"Brain Organoid and Systems Neuroscience Journal","Neurosciences - Molecular and Cellular Neuroscience","Elsevier","For-profit associated with a society","OA",""
"Brain Pathology","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","OA","3758"
"Brain Research","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2000"
"Brain Research Bulletin","Neurosciences - Generalist","Elsevier","For-profit","OA","2484"
"Brain Science Advances","Neurosciences - Generalist","Sage Publishing","For-profit","OA",""
"Brain Science and Child Development","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Elsevier","For-profit","",""
"Brain Stimulation","Neurosciences - Neuromodulation","Elsevier","For-profit","OA","3055"
"Brain Structure and Function","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","Hybrid","2810"
"Brain Topography","Neurosciences - Generalist","Springer Nature","For-profit","Hybrid","3827"
"Brain Tumor Pathology","Cancer - Neuro-Oncology; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit associated with a society","Hybrid","3046"
"Brazilian Journal of Psychiatry","Neurosciences - Clinical Neuroscience","Brazilian Psychiatric Association","Non-profit","",""
"Breast Cancer: Basic and Clinical Research","Cancer - Breast Cancer","Sage Publishing","For-profit","OA","1355"
"Breast Cancer Research","Cancer - Breast Cancer","Springer Nature (BioMed Central)","For-profit","OA","2766"
"Breast Cancer Research and Treatment","Cancer - Breast Cancer","Springer Nature","For-profit","Hybrid","2652"
"Breast Disease","Cancer - Breast Cancer","Sage Publishing (IOS Press)","For-profit","",""
"Breathe","Anatomy & Physiology - Physiology","European Respiratory Society (ERS)","Non-profit","OA",""
"Briefings in Bioinformatics","Generalist - Computational Biology","Oxford University Press (OUP)","University Press","OA","3259"
"Briefings in Functional Genomics","Genetics & Genomics - Genomics","Oxford University Press (OUP)","University Press","Hybrid","2590"
"British Journal for the Philosophy of Science","Generalist - History/Philosophy of Biology","University of Chicago Press","University Press","Hybrid","2733"
"British Journal of Cancer","Cancer - Generalist","Springer Nature","For-profit","Hybrid","4130"
"British Journal of Nutrition","Anatomy & Physiology - Nutrition","Cambridge University Press (CUP)","University Press","Hybrid","2429"
"British Journal of Pain","Neurosciences - Pain","Sage Publishing","For-profit associated with a society","Hybrid","287"
"British Journal of Pharmacology","Molecular & Cellular Biology - Pharmacology and Toxicology","John Wiley & Sons","For-profit associated with a society","Hybrid","3486"
"British Journal of Sports Medicine","Anatomy & Physiology - Sport Science","BMJ Group","Non-profit","Hybrid","4443"
"Bulletin de la Societe Entomologique de France","Ecology & Evolution - Zoology","Societe Entomologique de France","Non-profit","Subscription",""
"Bulletin de la Societe Herpetologique de France","Ecology & Evolution - Zoology","Societe Herpetologique de France","Non-profit","Subscription",""
"Bulletin de la Societe Zoologique de France","Ecology & Evolution - Zoology","Societe zoologique de France","Non-profit","OA","160"
"Bulletin du Cancer","Cancer - Generalist","Elsevier","For-profit associated with a society","Hybrid","1519"
"Bulletin of Marine Science","Ecology & Evolution - Genetics","Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami","Non-profit","Hybrid","1063"
"Bulletin of Mathematical Biology","Ecology & Evolution - Theory; Generalist - Mathematical Biology","Springer Nature","For-profit associated with a society","Hybrid","2445"
"Bulletin of Zoological Nomenclature","Ecology & Evolution - Zoology","BioOne","Non-profit","OA diamond","0"
"Cahiers de Nutrition et de Diététique","Anatomy & Physiology - Nutrition","Elsevier","For-profit associated with a society","Hybrid","1125"
"Cambridge Journal of Human Behaviour","Neurosciences - Behavioral Neuroscience","Cambridge Journal of Human Behaviour (University of Cambridge)","University Press","OA diamond","0"
"Canadian Entomologist","Ecology & Evolution - Zoology","Cambridge University Press (CUP)","University Press associated with a society","Hybrid",""
"Canadian Journal of Forest Research","Ecology & Evolution - Genetics","Canadian Science Publishing","Non-profit","Hybrid","3159"
"Canadian Journal of Neurological Sciences","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","",""
"Canadian Journal of Physiology and Pharmacology","Anatomy & Physiology - Physiology; Molecular & Cellular Biology - Pharmacology and Toxicology","Canadian Science Publishing","Non-profit","",""
"Canadian Journal of Plant Science","Plants - Generalist","Canadian Science Publishing","Non-profit","",""
"Canadian Journal of Zoology","Ecology & Evolution - Zoology","Canadian Science Publishing","Non-profit","Hybrid",""
"Cancer","Cancer - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","4262"
"Cancer Biology & Medicine","Cancer - Generalist","Cancer Biology and Medicine","Non-profit","OA",""
"Cancer Biotherapy and Radiopharmaceuticals","Cancer - Treatment","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","2849"
"Cancer Cell","Cancer - Molecular and Cellular Oncology","Elsevier (Cell Press)","For-profit","Hybrid","6866"
"Cancer Cell International","Cancer - Generalist","Springer Nature (BioMed Central)","For-profit","OA","2573"
"Cancer Chemotherapy and Pharmacology","Cancer - Treatment","Springer Nature","For-profit","Hybrid","3092"
"Cancer Communications","Cancer - Generalist","John Wiley & Sons","For-profit associated with a society","OA","2057"
"Cancer Cytopathology","Cancer - Molecular and Cellular Oncology","John Wiley & Sons","For-profit associated with a society","Hybrid","2194"
"Cancer Discovery","Cancer - Generalist","American Association for Cancer Research (AACR)","Non-profit","Hybrid","7892"
"Cancer Drug Resistance","Cancer - Treatment","OAE Publishing","For-profit","OA","2007"
"Cancer Epidemiology","Cancer - Generalist","Elsevier","For-profit","Hybrid","3260"
"Cancer Epidemiology, Biomarkers and Prevention","Cancer - Generalist","American Association for Cancer Research","Non-profit","Hybrid","2059"
"Cancer Genetics","Cancer - Genetics","Elsevier","For-profit associated with a society","Hybrid","2657"
"Cancer Imaging","Cancer - Diagnostics/Biomarkers","Springer Nature (BioMed Central)","For-profit associated with a society","OA","1779"
"Cancer Immunology, Immunotherapy","Cancer - Treatment; Immunology - Immunooncology","Springer Nature","For-profit","OA","2756"
"Cancer Immunology Research","Immunology - Immunooncology","American Association for Cancer Research","Non-profit","Hybrid","5073"
"Cancer Informatics","Cancer - Generalist","Sage Publishing","For-profit","OA","1209"
"Cancer Letters","Cancer - Generalist","Elsevier","For-profit","Hybrid","3668"
"Cancer Medicine","Cancer - Generalist","John Wiley & Sons","For-profit","OA","2618"
"Cancer & Metastasis Reviews","Cancer - Generalist","Springer Nature","For-profit","Hybrid","2351"
"Cancer Pathogenesis and Therapy","Cancer - Generalist","Elsevier","For-profit associated with a society","OA","1000"
"Cancer Prevention Research","Cancer - Generalist","American Association for Cancer Research","Non-profit","Hybrid","4486"
"Cancer/Radiothérapie","Cancer - Treatment","Elsevier","For-profit associated with a society","Hybrid","2000"
"Cancer Reports","Cancer - Generalist","John Wiley & Sons","For-profit","OA","1892"
"Cancer Research","Cancer - Generalist","American Association for Cancer Research","Non-profit","Hybrid","3617"
"Cancer Research Communications","Cancer - Generalist","American Association for Cancer Research","Non-profit","OA","1808"
"Cancer Science","Cancer - Generalist","John Wiley & Sons","For-profit associated with a society","OA","2085"
"Cancer Treatment Reviews","Cancer - Treatment","Elsevier","For-profit associated with a society","Hybrid","3844"
"Carcinogenesis","Cancer - Generalist","Oxford University Press (OUP)","University Press","Hybrid","2612"
"Cardio-Oncology","Cancer - Hematopoietic and Cardiovascular Cancer","Springer Nature (BioMed Central)","For-profit","OA","2447"
"Cell","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier (Cell Press)","For-profit","Hybrid","7205"
"Cell Adhesion and Migration","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Taylor & Francis Group","For-profit","OA","2361"
"Cell and Bioscience","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature (BioMed Central)","For-profit associated with a society","OA","2144"
"Cell and Tissue Banking","Molecular & Cellular Biology - Methodology and Experimental Techniques","Springer Nature","For-profit","Hybrid","3375"
"Cell and Tissue Research","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","Hybrid","2870"
"Cell Biochemistry and Function","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","Hybrid","2332"
"Cell Biology and Toxicology","Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","Springer Nature","For-profit","OA","2770"
"Cell Biology International","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit associated with a society","Hybrid","2463"
"Cell Calcium","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","Hybrid","2946"
"Cell Chemical Biology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier (Cell Press)","For-profit","Hybrid","7252"
"Cell Communication and Signaling","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature (BioMed Central)","For-profit","OA","2994"
"Cell Cycle","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Taylor & Francis Group","For-profit","Hybrid","1495"
"Cell Death","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","",""
"Cell Death and Differentiation","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","Hybrid","3470"
"Cell Death and Disease","Cancer - Molecular and Cellular Oncology; Immunology - Generalist/Classical Immunology; Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","OA","3668"
"Cell Death Discovery","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","OA","2042"
"Cell Discovery","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit associated with a society","OA","2650"
"Cell Genomics","Genetics & Genomics - Genomics","Elsevier (Cell Press)","For-profit","OA","3717"
"Cell Host and Microbe","Immunology - Immunopathology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier (Cell Press)","For-profit","Hybrid","7045"
"Cell Metabolism","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier (Cell Press)","For-profit","Hybrid","4763"
"Cell Proliferation","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","OA","3100"
"Cell Regeneration","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit associated with a society","Hybrid",""
"Cell Reports","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier (Cell Press)","For-profit","OA","4723"
"Cell Reports Medicine","Molecular & Cellular Biology - Clinical and Medical Sciences","Elsevier (Cell Press)","For-profit","OA","4824"
"Cell Reports Methods","Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier (Cell Press)","For-profit","OA","4680"
"Cell Research","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit associated with a society","Hybrid","4264"
"Cells and Development","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit associated with a society","Hybrid","2676"
"Cell Stem Cell","Molecular & Cellular Biology - Stem Cell Research","Elsevier (Cell Press)","For-profit","Hybrid","6797"
"Cells Tissues Organs","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Karger Publishers","For-profit","Hybrid","2759"
"Cell Stress and Chaperones","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit associated with a society","OA","2822"
"Cell Systems","Genetics & Genomics - Generalist; Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier (Cell Press)","For-profit","Hybrid","6098"
"Cell Transplantation","Molecular & Cellular Biology - Clinical and Medical Sciences","Sage Publishing","For-profit","OA","2227"
"Cellular and Molecular Biology Letters","Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","Springer Nature (BioMed Central)","For-profit associated with a society","OA","2302"
"Cellular and Molecular Gastroenterology and Hepatology","Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","Elsevier","For-profit associated with a society","OA","2085"
"Cellular and Molecular Immunology","Immunology - Immunogenetics, Molecular and Cellular Immunology; Molecular & Cellular Biology - Immunology and Cellular Immunology","Springer Nature","For-profit associated with a society","Hybrid","3034"
"Cellular and Molecular Life Sciences","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","OA","3376"
"Cellular and Molecular Neurobiology","Molecular & Cellular Biology - Neuroscience; Neurosciences - Molecular and Cellular Neuroscience","Springer Nature","For-profit","OA","3147"
"Cellular Immunology","Immunology - Immunogenetics, Molecular and Cellular Immunology; Molecular & Cellular Biology - Immunology and Cellular Immunology","Elsevier","For-profit","Hybrid","2593"
"Cellular Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","John Wiley & Sons","For-profit","OA","3371"
"Cellular Oncology","Molecular & Cellular Biology - Cancer and Oncology","Springer Nature","For-profit","OA","3098"
"Cellular Physiology and Biochemistry","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Cell Physiol Biochem Press","Non-profit","OA","1918"
"Cellular Signalling","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","Hybrid","2486"
"Centaurus","Generalist - History/Philosophy of Biology","Brepols","For-profit associated with a society","Hybrid","2083"
"Central European Journal of Immunology","Immunology - Generalist/Classical Immunology","Polish Society of Experimental and Clinical Immunology","Non-profit","OA","692"
"Cephalalgia","Neurosciences - Pain","Sage Publishing","For-profit associated with a society","Hybrid","2663"
"Cephalalgia Reports","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","OA","967"
"Cerebral Cortex","Neurosciences - Generalist","Oxford University Press (OUP)","University Press","Hybrid","3957"
"Cerebral Cortex Communications","Neurosciences - Generalist","Oxford University Press (OUP)","University Press","OA","2636"
"Chelonian Conservation and Biology","Ecology & Evolution - Applied Ecology","Allen press","For-profit","Hybrid",""
"ChemBioChem","Molecular & Cellular Biology - Biochemistry and Molecular Biology","John Wiley & Sons","For-profit associated with a society","Hybrid","2324"
"Chemical Biology and Drug Design","Molecular & Cellular Biology - Pharmacology and Toxicology","John Wiley & Sons","For-profit","Hybrid","2138"
"Chemico-Biological Interactions","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit","Hybrid","3179"
"Child Abuse & Neglect","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2452"
"Child and Adolescent Mental Health","Development - Neuroscience; Neurosciences - Developmental Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","3468"
"Child and Adolescent Psychiatry and Mental Health","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Springer Nature (BioMed Central)","For-profit associated with a society","OA","1990"
"Child Development","Development - Childhood and Adolescence","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2451"
"Child Development Perspectives","Development - Childhood and Adolescence","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2192"
"Child Neurology Open","Neurosciences - Developmental Neuroscience","Sage Publishing","For-profit","",""
"Child Neuropsychology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","1368"
"Child Psychiatry & Human Development","Development - Childhood and Adolescence; Neurosciences - Developmental Neuroscience","Springer Nature","For-profit","Hybrid","2216"
"Child's Nervous System","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Springer Nature","For-profit associated with a society","Hybrid","2601"
"Chromosome Research","Genetics & Genomics - Genomics","Springer Nature","For-profit","Hybrid","3060"
"Chronic Stress","Neurosciences - Generalist","Sage Publishing","For-profit","OA","1187"
"Chronobiology International","Neurosciences - Neurophysiology","Taylor & Francis Group","For-profit","Hybrid","1084"
"Cities and the Environment","Ecology & Evolution - Applied Ecology","Loyola Marymount University","Non-profit","OA diamond","0"
"Cladistics","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2612"
"Clinical Anatomy","Anatomy & Physiology - Anatomy","John Wiley & Sons","For-profit associated with a society","Hybrid","3060"
"Clinical and Experimental Allergy","Immunology - Allergy and Hypersensitivity","John Wiley & Sons","For-profit associated with a society","Hybrid","3281"
"Clinical and Experimental Immunology","Immunology - Clinical Immunology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2255"
"Clinical and Experimental Pharmacology and Physiology","Molecular & Cellular Biology - Pharmacology and Toxicology","John Wiley & Sons","For-profit","Hybrid","1847"
"Clinical and Translational Immunology","Immunology - Clinical Immunology","John Wiley & Sons","For-profit associated with a society","OA","2213"
"Clinical and Translational Oncology","Cancer - Generalist","Springer Nature","For-profit associated with a society","Hybrid","3138"
"Clinical and Translational Radiation Oncology","Cancer - Treatment","Elsevier","For-profit associated with a society","OA","1365"
"Clinical and translational science","Molecular & Cellular Biology - Clinical and Medical Sciences","John Wiley & Sons","For-profit associated with a society","OA","3114"
"Clinical Biochemistry","Molecular & Cellular Biology - Clinical and Medical Sciences","Elsevier","For-profit associated with a society","Hybrid","2341"
"Clinical Cancer Research","Cancer - Generalist","American Association for Cancer Research","Non-profit","Hybrid","3962"
"Clinical Chemistry","Molecular & Cellular Biology - Clinical and Medical Sciences","Oxford University Press (OUP)","University Press","Hybrid","3642"
"Clinical Chemistry and Laboratory Medicine","Molecular & Cellular Biology - Clinical and Medical Sciences","De Gruyter Brill","For-profit","Hybrid","2260"
"Clinical Colorectal Cancer","Cancer - Gastrointestinal cancer","Elsevier","For-profit","Hybrid","2380"
"Clinical EEG and Neuroscience","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","",""
"Clinical Epidemiology","Immunology - Epidemiology","Taylor & Francis Group","For-profit","OA","2688"
"Clinical Epigenetics","Genetics & Genomics - Epigenetics","Springer Nature (BioMed Central)","For-profit associated with a society","OA","2405"
"Clinical Genetics","Genetics & Genomics - Medical Genetics","John Wiley & Sons","For-profit","Hybrid","3239"
"Clinical Gerontologist","Anatomy & Physiology - Aging; Development - Aging","Taylor & Francis Group","For-profit","",""
"Clinical Immunology","Immunology - Clinical Immunology","Elsevier","For-profit associated with a society","Hybrid","3558"
"Clinical Infectious Diseases","Immunology - Immunopathology","Oxford University Press (OUP)","University Press","Hybrid","3082"
"Clinical Journal of Sport Medicine","Anatomy & Physiology - Sport Science","Wolters Kluwer (Lippincott)","For-profit","",""
"Clinical Lung Cancer","Cancer - Thoracic and Respiratory Cancer","Elsevier","For-profit","Hybrid","3379"
"Clinical Lymphoma, Myeloma & Leukemia","Cancer - Hematopoietic and Cardiovascular Cancer","Elsevier","For-profit associated with a society","Hybrid","2390"
"Clinical Microbiology and Infection","Ecology & Evolution - Health; Immunology - Immunopathology","Elsevier","For-profit associated with a society","Hybrid","2684"
"Clinical Microbiology Reviews","Immunology - Immunopathology","American Society for Microbiology (ASM)","Non-profit","Hybrid","3013"
"Clinical Neuropharmacology","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","",""
"Clinical Neurophysiology","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2463"
"Clinical Pharmacokinetics","Molecular & Cellular Biology - Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","2697"
"Clinical Pharmacology and Therapeutics","Molecular & Cellular Biology - Pharmacology and Toxicology","John Wiley & Sons","For-profit associated with a society","Hybrid","2238"
"Clinical Physiology and Functional Imaging","Anatomy & Physiology - Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","3685"
"Clinical Practice in Pediatric Psychology","Neurosciences - Developmental Neuroscience","Sage Publishing","For-profit associated with a society","",""
"Clinical Proteomics","Molecular & Cellular Biology - Methodology and Experimental Techniques","Springer Nature (BioMed Central)","For-profit","OA","1925"
"Clinical Psychological Science","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","391"
"Clinical Psychopharmacology Neuroscience","Neurosciences - Molecular and Cellular Neuroscience","The Korean College of Neuropsychopharmacology (KCNP); Asian College of Neuropsychopharmacology (AsCNP)","Non-profit","OA",""
"Clinical Reviews in Allergy and Immunology","Immunology - Allergy and Hypersensitivity","Springer Nature","For-profit","Hybrid","3606"
"Clinical Science","Generalist","Portland Press","Non-profit","Hybrid","2333"
"Clinical Transplantation","Immunology - Transplant Immunology","John Wiley & Sons","For-profit","Hybrid","3160"
"CNS Drugs","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","2200"
"CNS Neuroscience and Therapeutics","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit","OA","2501"
"CNS Spectrums","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press associated with a society","OA","2641"
"Cochrane Database of Systematic Reviews","Generalist - Clinical/Medicine","John Wiley & Sons","For-profit associated with a society","Hybrid","2833"
"Cognition","Neurosciences - Cognitive Neuroscience","Elsevier","For-profit","Hybrid","2452"
"Cognitive, Affective, and Behavioral Neuroscience","Neurosciences - Generalist","Springer Nature","For-profit associated with a society","Hybrid","2211"
"Cognitive and Behavioral Neurology","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","2672"
"Cognitive Computation","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","Hybrid","2318"
"Cognitive Neurodynamics","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","Hybrid","2290"
"Cognitive Neuropsychiatry","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","Hybrid","1591"
"Cognitive Neuroscience","Neurosciences - Cognitive Neuroscience","Taylor & Francis Group","For-profit","Hybrid","1047"
"Cognitive Processing","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","Hybrid","2604"
"Cognitive Science","Neurosciences - Cognitive Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","1843"
"Cognitive Systems Research","Neurosciences - Cognitive Neuroscience","Elsevier","For-profit","Hybrid","2084"
"Cold Spring Harbor Perspectives in Biology","Ecology & Evolution - Genetics; Generalist","Cold Spring Harbor Laboratory Press","Non-profit","Subscription",""
"Coleopterists Bulletin","Ecology & Evolution - Zoology","The Coleopterists Society","Non-profit","Subscription",""
"Communications Biology","Generalist","Springer Nature","For-profit","OA","3124"
"Communications in Statistics - Theory & Methods","Generalist - Statistics","Taylor & Francis Group","For-profit","Hybrid","2395"
"Communications Psychology","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","Hybrid","1888"
"Comparative Biochemistry and Physiology Part A: Molecular and Integrative Physiology","Ecology & Evolution - Genetics; Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit associated with a society","Hybrid","2221"
"Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology","Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit associated with a society","Hybrid","2371"
"Comparative Biochemistry and Physiology Part C: Toxicology and Pharmacology","Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit associated with a society","Hybrid","3229"
"Comparative Biochemistry and Physiology Part D: Genomics Proteomics","Genetics & Genomics - Genomics; Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit associated with a society","Hybrid","2803"
"Comparative Immunology, Microbiology and Infectious Diseases","Immunology - Immunopathology","Elsevier","For-profit","Hybrid","2780"
"Comparative Parasitology","Ecology & Evolution - Health; Immunology - Parasitology","BioOne","Non-profit","Subscription",""
"Comprehensive Physiology","Anatomy & Physiology - Physiology","John Wiley & Sons","For-profit associated with a society","",""
"Comprehensive Plant Biology","Plants - Generalist","Institute of Botany and Botanical Garden Jevremovac, Faculty of Biology, University of Belgrade","University Press","",""
"Comprehensive Psychiatry","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","OA","2065"
"Comptes Rendus Biologies","Ecology & Evolution - Genetics; Generalist","Academie des Sciences","Non-profit","OA diamond","0"
"Computational and Structural Biotechnology Journal","Genetics & Genomics - Generalist; Molecular & Cellular Biology - Methodology and Experimental Techniques","Elsevier","For-profit","OA","2667"
"Computational Biology and Chemistry.","Generalist - Computational Biology; Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","Elsevier","For-profit","Hybrid","2327"
"Computational Linguistics","Neurosciences - Cognitive Neuroscience","MIT press","University Press associated with a society","OA diamond","0"
"Computational Psychiatry","Neurosciences - Clinical Neuroscience","The Society for Computational Psychiatry Ltd.","Non-profit","OA","2607"
"Computational Statistics","Generalist - Statistics","Springer Nature","For-profit","Hybrid","2660"
"Computational Statistics and Data Analysis","Generalist - Statistics","Elsevier","For-profit associated with a society","Hybrid","1322"
"Computer Methods and Programs in Biomedicine","Generalist - Methods","Elsevier","For-profit","Hybrid","2369"
"Computers in Biology and Medicine","Generalist - Computational Biology","Elsevier","For-profit","Hybrid","2417"
"Congenital Anomalies","Development - Perinatology and Birth Defects/Teratology","John Wiley & Sons","For-profit associated with a society","Hybrid","2183"
"Connective Tissue Research","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Taylor & Francis Group","For-profit","",""
"Conservation Biology","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","Hybrid","2270"
"Conservation Letters","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","OA","1872"
"Conservation Physiology","Ecology & Evolution - Applied Ecology","Oxford University Press (OUP)","University Press associated with a society","OA","2039"
"Conservation Science and Practice","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","OA","1506"
"Conservation & Society","Ecology & Evolution - Applied Ecology","Wolters Kluwer Medknow Publications","For-profit","OA","601"
"Contributions to Zoology","Ecology & Evolution - Zoology","Brill","For-profit","OA","1575"
"Coral Reefs","Ecology & Evolution - Zoology","Springer Nature","For-profit associated with a society","Hybrid","2318"
"Cortex","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2853"
"CPT: Pharmacometrics and Systems pharmacology","Anatomy & Physiology - Physiology; Molecular & Cellular Biology - Pharmacology and Toxicology","John Wiley & Sons","For-profit associated with a society","OA","3074"
"Cranio","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","",""
"Critical Reviews in Biochemistry and Molecular Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Taylor & Francis Group","For-profit","Hybrid","1769"
"Critical Reviews in Immunology","Immunology - Generalist/Classical Immunology","Begell House","For-profit","",""
"Critical Reviews in Microbiology","Immunology - Immunopathology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Taylor & Francis Group","For-profit","Hybrid","2101"
"Critical Reviews in Oncology/Hematology","Cancer - Generalist","Elsevier","For-profit","Hybrid","3376"
"Crop and Environment","Plants - Agriculture","Elsevier","For-profit","OA","1565"
"Crop Journal","Plants - Agriculture","Elsevier","For-profit associated with a society","OA",""
"Cryobiology","Anatomy & Physiology - Physiology","Elsevier","For-profit associated with a society","Hybrid","1867"
"Cryptogamie, Algologie","Ecology & Evolution - Genetics; Plants - Generalist","Museum National d'Histoire Naturelle","Non-profit","OA diamond","0"
"Cryptogamie, Bryologie","Ecology & Evolution - Genetics; Plants - Generalist","Museum National d'Histoire Naturelle","Non-profit","OA diamond","0"
"Cryptogamie Mycologie","Ecology & Evolution - Microbiology","Museum National d'Histoire Naturelle","Non-profit","OA diamond","0"
"Current biology","Generalist","Elsevier","For-profit","Hybrid","5146"
"Current Breast Cancer Reports","Cancer - Breast Cancer","Springer Nature","For-profit","Hybrid","2584"
"Current Directions in Psychological Science","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","",""
"Current Fungal Infection Reports","Immunology - Immunopathology","Springer Nature","For-profit","Hybrid","2564"
"Current Herpetology","Ecology & Evolution - Zoology","Herpetological Society of Japan","Non-profit","Subscription",""
"Current HIV/AIDS Reports","Immunology - Virology","Springer Nature","For-profit","Hybrid","3315"
